"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 18:22:10 EDT 2024","Thu Jun 20 18:22:11 EDT 2024","378","firefox","example.spec.ts","","","","has title",""
"passed","Thu Jun 20 18:22:20 EDT 2024","Thu Jun 20 18:22:22 EDT 2024","1506","webkit","home.spec.ts","Home","","","Open Home page and verify title",""
"passed","Thu Jun 20 18:22:03 EDT 2024","Thu Jun 20 18:22:05 EDT 2024","1583","chromium","home.spec.ts","Home","","","Verify Search icon is visible via XPath Selector",""
"passed","Thu Jun 20 18:22:01 EDT 2024","Thu Jun 20 18:22:04 EDT 2024","2307","chromium","home.spec.ts","Home","","","Click get started button using CSS Selector",""
"passed","Thu Jun 20 18:22:03 EDT 2024","Thu Jun 20 18:22:04 EDT 2024","1544","chromium","home.spec.ts","Home","","","Verify heading text via CSS and text Selector",""
"passed","Thu Jun 20 18:37:21 EDT 2024","Thu Jun 20 18:37:24 EDT 2024","3185","webkit","contact.spec.ts","Contact","","","Open Contact page, fill in the form and assert the success message",""
"passed","Thu Jun 20 18:22:11 EDT 2024","Thu Jun 20 18:22:14 EDT 2024","3286","firefox","home.spec.ts","Home","","","Open About us page and verify title",""
"passed","Thu Jun 20 18:22:04 EDT 2024","Thu Jun 20 18:22:08 EDT 2024","3990","chromium","upload.spec.ts","Upload","","","Open Cart page and upload attachment.png",""
"passed","Thu Jun 20 18:22:11 EDT 2024","Thu Jun 20 18:22:13 EDT 2024","2019","firefox","home.spec.ts","Home","","","Open Home page and verify title",""
"passed","Thu Jun 20 18:22:11 EDT 2024","Thu Jun 20 18:22:13 EDT 2024","1731","firefox","home.spec.ts","Home","","","Click get started button using CSS Selector",""
"passed","Thu Jun 20 18:22:07 EDT 2024","Thu Jun 20 18:22:11 EDT 2024","4371","firefox","account.spec.ts","Account","","","Access Order",""
"passed","Thu Jun 20 18:21:57 EDT 2024","Thu Jun 20 18:22:01 EDT 2024","4504","chromium","account.spec.ts","Account","","","Access Download",""
"passed","Thu Jun 20 18:22:22 EDT 2024","Thu Jun 20 18:22:23 EDT 2024","1483","webkit","home.spec.ts","Home","","","Verify heading text via CSS and text Selector",""
"passed","Thu Jun 20 18:37:21 EDT 2024","Thu Jun 20 18:37:24 EDT 2024","3444","firefox","contact.spec.ts","Contact","","","Open Contact page, fill in the form and assert the success message",""
"passed","Thu Jun 20 18:22:00 EDT 2024","Thu Jun 20 18:22:01 EDT 2024","478","chromium","example.spec.ts","","","","has title",""
